char,unicode,standard_rank,status,current_cnbe,current_cnbe_hex,proposed_cnbe,proposed_cnbe_hex,current_radix,proposed_radix,current_radix_name,proposed_radix_name,current_strokes,proposed_strokes,current_struct_type,proposed_struct_type,current_struct_name,proposed_struct_name,index_preserved,human_decision_id,target_dataset,source_table_write_status,database_rebuild_status
侮,U+4FAE,1566,COPIED_DATASET_PATCH_APPLIED,65051360,0x03E09AE0,155818720,0x09499AE0,3,9,丶,亻,28,9,1,3,left-right,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
俭,U+4FED,1567,COPIED_DATASET_PATCH_APPLIED,1122901712,0x42EE1ED0,155819728,0x09499ED0,66,9,攴,亻,29,9,12,3,triangle,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
俗,U+4FD7,1568,COPIED_DATASET_PATCH_APPLIED,741973360,0x2C399D70,155819376,0x09499D70,44,9,尸,亻,7,9,3,3,up-down,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
俘,U+4FD8,1569,COPIED_DATASET_PATCH_APPLIED,759307648,0x2D421D80,155819392,0x09499D80,45,9,屮,亻,8,9,4,3,up-mid-down,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
信,U+4FE1,1570,COPIED_DATASET_PATCH_APPLIED,914890256,0x36881E10,155819536,0x09499E10,54,9,廴,亻,17,9,0,3,single,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
皇,U+7687,1571,COPIED_DATASET_PATCH_APPLIED,1756399728,0x68B08870,1783138416,0x6A488870,104,106,疒,白,22,9,1,1,left-right,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
泉,U+6CC9,1572,COPIED_DATASET_PATCH_APPLIED,2990664848,0xB241EC90,1430842512,0x5548EC90,178,85,韋,水,8,9,3,1,up-down,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
鬼,U+9B3C,1573,COPIED_DATASET_PATCH_APPLIED,1440109504,0x55D653C0,3259519936,0xC24853C0,85,194,水,鬼,26,9,12,0,triangle,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
侵,U+4FB5,1574,COPIED_DATASET_PATCH_APPLIED,170138448,0x0A241B50,155818832,0x09499B50,10,9,儿,亻,4,9,8,3,top-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
禹,U+79B9,1575,COPIED_DATASET_PATCH_APPLIED,1108884368,0x42183B90,1917336464,0x72483B90,66,114,攴,禸,3,9,0,0,single,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
侯,U+4FAF,1576,COPIED_DATASET_PATCH_APPLIED,82385648,0x04E91AF0,155818736,0x09499AF0,4,9,丿,亻,29,9,2,3,left-mid-right,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
追,U+8FFD,1577,COPIED_DATASET_PATCH_APPLIED,3404931024,0xCAF31FD0,2722897872,0xA24C1FD0,202,162,黍,辶,30,9,6,8,top-right-wrap,左下包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
俊,U+4FCA,1578,COPIED_DATASET_PATCH_APPLIED,533306528,0x1FC99CA0,155819168,0x09499CA0,31,9,囗,亻,25,9,3,3,up-down,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
盾,U+76FE,1579,COPIED_DATASET_PATCH_APPLIED,160010208,0x09898FE0,1833603040,0x6D4A8FE0,9,109,人,目,17,9,3,5,up-down,左上包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
待,U+5F85,1580,COPIED_DATASET_PATCH_APPLIED,3467647056,0xCEB01850,1011456080,0x3C499850,206,60,鼎,彳,22,9,0,3,single,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
徊,U+5F8A,1581,COPIED_DATASET_PATCH_APPLIED,3554318496,0xD3DA98A0,1011456160,0x3C4998A0,211,60,齒,彳,27,9,5,3,top-left-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
衍,U+884D,1582,COPIED_DATASET_PATCH_APPLIED,2692261072,0xA078A4D0,2421040336,0x904E24D0,160,144,辛,行,15,9,1,12,left-right,镶嵌,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
律,U+5F8B,1583,COPIED_DATASET_PATCH_APPLIED,3571652784,0xD4E318B0,1011456176,0x3C4998B0,212,60,龍,彳,28,9,6,3,top-right-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
很,U+5F88,1584,COPIED_DATASET_PATCH_APPLIED,3519649920,0xD1C99880,1011456128,0x3C499880,209,60,鼻,彳,25,9,3,3,up-down,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
须,U+987B,1585,COPIED_DATASET_PATCH_APPLIED,370976688,0x161CA7B0,994682800,0x3B49A7B0,22,59,匚,彡,3,9,9,3,bottom-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
叙,U+53D9,1586,COPIED_DATASET_PATCH_APPLIED,3595656592,0xD6515D90,491380112,0x1D49DD90,214,29,龠,又,10,9,2,3,left-mid-right,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
剑,U+5251,1587,COPIED_DATASET_PATCH_APPLIED,615007504,0x24A84510,306824464,0x1249C510,36,18,夕,刂,21,9,0,3,single,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
逃,U+9003,1588,COPIED_DATASET_PATCH_APPLIED,3492683824,0xD02E2030,2722897968,0xA24C2030,208,162,鼠,辶,5,9,12,8,triangle,左下包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
食,U+98DF,1589,COPIED_DATASET_PATCH_APPLIED,2052238832,0x7A52ADF0,3091770864,0xB848ADF0,122,184,网,食,10,9,5,1,top-left-wrap,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
盆,U+76C6,1590,COPIED_DATASET_PATCH_APPLIED,2814250080,0xA7BE0C60,1816693856,0x6C488C60,167,108,金,皿,23,9,12,1,triangle,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
胚,U+80DA,1591,COPIED_DATASET_PATCH_APPLIED,3019025824,0xB3F2ADA0,2185866656,0x8249ADA0,179,130,韭,⺼,30,9,5,3,top-left-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
胧,U+80E7,1592,COPIED_DATASET_PATCH_APPLIED,3227692656,0xC062AE70,1246342768,0x4A49AE70,192,74,鬯,月,12,9,5,3,top-left-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
胆,U+80C6,1593,COPIED_DATASET_PATCH_APPLIED,2673192032,0x9F55AC60,2185866336,0x8249AC60,159,130,車,⺼,10,9,11,3,full-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
胜,U+80DC,1594,COPIED_DATASET_PATCH_APPLIED,3037441472,0xB50BADC0,2185866688,0x8249ADC0,181,130,頁,⺼,1,9,7,3,bottom-left-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
胞,U+80DE,1595,COPIED_DATASET_PATCH_APPLIED,3072110048,0xB71CADE0,2185866720,0x8249ADE0,183,130,飛,⺼,3,9,9,3,bottom-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
胖,U+80D6,1596,COPIED_DATASET_PATCH_APPLIED,2949688672,0xAFD0AD60,2185866592,0x8249AD60,175,130,非,⺼,26,9,1,3,left-right,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
脉,U+8109,1597,COPIED_DATASET_PATCH_APPLIED,209203344,0x0C783090,2185867408,0x8249B090,12,130,八,⺼,15,9,0,3,single,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
胎,U+80CE,1598,COPIED_DATASET_PATCH_APPLIED,2811440352,0xA7932CE0,2185866464,0x8249ACE0,167,130,金,⺼,18,9,6,3,top-right-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
勉,U+52C9,1599,COPIED_DATASET_PATCH_APPLIED,2626276496,0x9C89CC90,323767440,0x134C4C90,156,19,走,力,17,9,3,8,up-down,左下包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
狭,U+72ED,1600,COPIED_DATASET_PATCH_APPLIED,653348560,0x26F14ED0,1581895376,0x5E49CED0,38,94,女,犭,30,9,2,3,left-mid-right,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
狮,U+72EE,1601,COPIED_DATASET_PATCH_APPLIED,670682848,0x27F9CEE0,1581895392,0x5E49CEE0,39,94,子,犭,31,9,3,3,up-down,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
独,U+72EC,1602,COPIED_DATASET_PATCH_APPLIED,636014272,0x25E8CEC0,1581895360,0x5E49CEC0,37,94,大,犭,29,9,1,3,left-right,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
狰,U+72F0,1603,COPIED_DATASET_PATCH_APPLIED,689098496,0x2912CF00,1581895424,0x5E49CF00,41,94,寸,犭,2,9,5,3,top-left-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
狡,U+72E1,1604,COPIED_DATASET_PATCH_APPLIED,445763088,0x1A91CE10,1581895184,0x5E49CE10,26,94,卩,犭,18,9,3,3,up-down,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
狱,U+72F1,1605,COPIED_DATASET_PATCH_APPLIED,706432784,0x2A1B4F10,1581928208,0x5E4A4F10,42,94,小,犭,3,9,6,4,top-right-wrap,左中右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
狠,U+72E0,1606,COPIED_DATASET_PATCH_APPLIED,428428800,0x19894E00,1581895168,0x5E49CE00,25,94,卜,犭,17,9,2,3,left-mid-right,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
贸,U+8D38,1607,COPIED_DATASET_PATCH_APPLIED,2266919808,0x871E7380,2588472192,0x9A48F380,135,154,舌,贝,3,9,12,1,triangle,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
怨,U+6028,1608,COPIED_DATASET_PATCH_APPLIED,2616435328,0x9BF3A280,1028170368,0x3D48A280,155,61,赤,心,30,9,7,1,bottom-left-wrap,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
急,U+6025,1609,COPIED_DATASET_PATCH_APPLIED,2564432464,0x98DA2250,1028170320,0x3D48A250,152,61,豕,心,27,9,4,1,up-mid-down,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
饵,U+9975,1610,COPIED_DATASET_PATCH_APPLIED,976107344,0x3A2E3750,3091838800,0xB849B750,58,184,彐,饣,5,9,12,3,triangle,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
饶,U+9976,1611,COPIED_DATASET_PATCH_APPLIED,993015648,0x3B303760,3091838816,0xB849B760,59,184,彡,饣,6,9,0,3,single,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
蚀,U+8680,1612,COPIED_DATASET_PATCH_APPLIED,2140932096,0x7F9C0800,3091826688,0xB8498800,127,184,耒,饣,19,9,8,3,top-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
饺,U+997A,1613,COPIED_DATASET_PATCH_APPLIED,1062352800,0x3F5237A0,3091838880,0xB849B7A0,63,184,戶,饣,10,9,4,3,up-mid-down,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
饼,U+997C,1614,COPIED_DATASET_PATCH_APPLIED,1097021376,0x416337C0,3091838912,0xB849B7C0,65,184,支,饣,12,9,6,3,top-right-wrap,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
峦,U+5CE6,1615,COPIED_DATASET_PATCH_APPLIED,2970807904,0xB112EE60,776531552,0x2E48EE60,177,46,革,山,2,9,5,1,top-left-wrap,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
弯,U+5F2F,1616,COPIED_DATASET_PATCH_APPLIED,2028638960,0x78EA92F0,961057520,0x394892F0,120,57,糸,弓,29,9,5,1,top-left-wrap,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
将,U+5C06,1617,COPIED_DATASET_PATCH_APPLIED,2815516768,0xA7D16060,1514791008,0x5A49E060,167,90,金,丬,26,9,2,3,left-mid-right,左右,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
奖,U+5956,1618,COPIED_DATASET_PATCH_APPLIED,2040640864,0x79A1B560,625522016,0x2548B560,121,37,缶,大,20,9,3,1,up-down,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
哀,U+54C0,1619,COPIED_DATASET_PATCH_APPLIED,298216448,0x11C66C00,508128256,0x1E496C00,17,30,凵,口,24,9,12,2,triangle,上中下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
亭,U+4EAD,1620,COPIED_DATASET_PATCH_APPLIED,2929330896,0xAE9A0AD0,138971856,0x08488AD0,174,8,青,亠,19,9,4,1,up-mid-down,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
亮,U+4EAE,1621,COPIED_DATASET_PATCH_APPLIED,2946665184,0xAFA28AE0,138971872,0x08488AE0,175,8,非,亠,20,9,5,1,top-left-wrap,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
度,U+5EA6,1622,COPIED_DATASET_PATCH_APPLIED,3313863264,0xC5858A60,894077536,0x354A8A60,197,53,鹵,广,16,9,11,5,full-wrap,左上包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
迹,U+8FF9,1623,COPIED_DATASET_PATCH_APPLIED,3335593872,0xC6D11F90,2722897808,0xA24C1F90,198,162,鹿,辶,26,9,2,8,left-mid-right,左下包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
庭,U+5EAD,1624,COPIED_DATASET_PATCH_APPLIED,3434777296,0xCCBA8AD0,894077648,0x354A8AD0,204,53,黹,广,23,9,5,5,top-left-wrap,左上包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
疮,U+75AE,1625,COPIED_DATASET_PATCH_APPLIED,1706228448,0x65B2FAE0,1749744352,0x684AFAE0,101,104,用,疒,22,9,5,5,top-left-wrap,左上包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
疯,U+75AF,1626,COPIED_DATASET_PATCH_APPLIED,1723562736,0x66BB7AF0,1749744368,0x684AFAF0,102,104,田,疒,23,9,6,5,top-right-wrap,左上包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
疫,U+75AB,1627,COPIED_DATASET_PATCH_APPLIED,1654225584,0x62997AB0,1749744304,0x684AFAB0,98,104,瓦,疒,19,9,2,5,left-mid-right,左上包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
疤,U+75A4,1628,COPIED_DATASET_PATCH_APPLIED,1533311552,0x5B647A40,1749744192,0x684AFA40,91,104,片,疒,12,9,8,5,top-wrap,左上包,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
咨,U+54A8,1629,COPIED_DATASET_PATCH_APPLIED,3489196672,0xCFF8EA80,508095104,0x1E48EA80,207,30,鼓,口,31,9,1,1,left-right,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
姿,U+59FF,1630,COPIED_DATASET_PATCH_APPLIED,1276755952,0x4C19BFF0,642301936,0x2648BFF0,76,38,欠,女,3,9,3,1,up-down,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
亲,U+4EB2,1631,COPIED_DATASET_PATCH_APPLIED,3016002336,0xB3C48B20,1967688480,0x75488B20,179,117,韭,立,24,9,9,1,bottom-wrap,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
音,U+97F3,1632,COPIED_DATASET_PATCH_APPLIED,1689362224,0x64B19F30,3024658224,0xB4489F30,100,180,生,音,22,9,3,1,up-down,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
帝,U+5E1D,1633,COPIED_DATASET_PATCH_APPLIED,1008337360,0x3C1A01D0,843612624,0x324881D0,60,50,彳,巾,3,9,4,1,up-mid-down,上下,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
