id,main,attached_forms,ocr_main,ocr_attached_forms,status
185,食,饣飠,,饣,OCR_MISSING_MAIN_AND_ATTACHED
186,音,,,,OCR_MISSING_MAIN
187,首,,,,OCR_MISSING_MAIN
188,髟,,髟,,MATCH
189,鬲,,鬲,,MATCH
190,鬥,,鬥,,MATCH
191,高,,高,,MATCH
192,黄,,黃,,OCR_MAIN_MISMATCH
193,麻,,麻,,MATCH
194,鹿,,鹿,,MATCH
195,鼎,,鼎,,MATCH
196,黑,,黑,,MATCH
197,黍,,黍,,MATCH
198,鼓,,鼓,,MATCH
199,鼠,,鼠,,MATCH
200,鼻,,鼻,,MATCH
201,龠,,龠,,MATCH
