row_id,char,unicode,baseline_strokes,unihan_strokes,zdic_strokes,triage_relation,adjudication_status,candidate_cnbe_status
PENC_207,𬙊,U+2C64A,18,17,18,BASELINE_ZDIC_AGREE_UNIHAN_DIFFERS,HUMAN_OR_GF0013_ADJUDICATION_REQUIRED,NOT_GENERATED
PENC_223,𬩽,U+2CA7D,8,9,8,BASELINE_ZDIC_AGREE_UNIHAN_DIFFERS,HUMAN_OR_GF0013_ADJUDICATION_REQUIRED,NOT_GENERATED
PENC_247,𬮿,U+2CBBF,8,9,8,BASELINE_ZDIC_AGREE_UNIHAN_DIFFERS,HUMAN_OR_GF0013_ADJUDICATION_REQUIRED,NOT_GENERATED
PENC_248,𬯀,U+2CBC0,8,9,8,BASELINE_ZDIC_AGREE_UNIHAN_DIFFERS,HUMAN_OR_GF0013_ADJUDICATION_REQUIRED,NOT_GENERATED
PENC_249,𬯎,U+2CBCE,11,12,11,BASELINE_ZDIC_AGREE_UNIHAN_DIFFERS,HUMAN_OR_GF0013_ADJUDICATION_REQUIRED,NOT_GENERATED
