row_id,char,unicode,approved_struct_name,approval_scope,approval_reference,decomposition_status,radical_status,stroke_status,candidate_cnbe_status,source_table_write_authorized
PENC_206,𬙂,U+2C642,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_207,𬙊,U+2C64A,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_208,𬙋,U+2C64B,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_209,𬜬,U+2C72C,上下,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_210,𬜯,U+2C72F,上下,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_211,𬞟,U+2C79F,上下,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_212,𬟁,U+2C7C1,上下,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_213,𬟽,U+2C7FD,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_214,𬣙,U+2C8D9,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_215,𬣞,U+2C8DE,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_216,𬣡,U+2C8E1,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
